POS,concept,frame,adj_1,adj_2,adj_3,noun_1,noun_2,noun_3,verb_1,verb_2,verb_3,unbiased_1,unbiased_2,unbiased_3,mixed_1,mixed_2,mixed_3
NOUN,n_1,Clothing,v,n,n,n,v,a,n,a,n,n,n,n,n,a,n
NOUN,n_2,Buildings,n,n,n,n,n,n,v,a,n,a,v,n,n,n,n
NOUN,n_3,Body_parts,v,v,a,n,n,n,a,a,n,n,a,n,a,a,n
NOUN,n_4,Sounds,v,a,n,v,n,n,a,n,n,a,n,n,n,n,n
NOUN,n_5,Food,n,a,a,n,n,n,n,a,n,n,n,n,v,a,a
NOUN,n_6,Aggregate,n,n,n,n,n,n,n,n,n,n,a,n,n,n,n
NOUN,n_7,Calendric_unit,v,n,a,n,a,n,a,a,a,n,n,n,v,a,n
NOUN,n_8,Appellations,a,a,n,a,a,n,v,a,n,n,v,n,a,a,n
NOUN,n_9,Vehicle,v,n,n,n,a,n,n,n,n,n,a,n,n,n,n
NOUN,n_10,Facial_expression,v,n,a,v,n,n,n,a,n,v,a,a,a,n,a
VERB,v_1,Filling,a,n,a,n,a,a,v,a,n,v,n,n,v,n,a
VERB,v_2,Cause_motion,v,a,n,v,v,a,v,v,n,v,n,a,v,a,n
VERB,v_3,Motion_noise,n,a,n,v,n,n,n,a,n,v,a,n,v,a,n
VERB,v_4,Text_creation,a,a,a,n,v,a,a,n,n,n,n,n,v,a,n
VERB,v_5,Absorb_heat,v,a,n,a,a,n,a,n,n,v,a,n,v,v,a
VERB,v_6,Cause_to_fragment,v,v,n,n,v,n,n,n,n,n,a,n,v,n,a
VERB,v_7,Change_posture,v,n,n,a,v,n,n,n,n,v,n,n,n,n,n
VERB,v_8,Communication_manner,a,a,n,v,v,n,a,n,n,a,a,n,n,a,n
VERB,v_9,Operate_vehicle,v,a,n,v,n,n,v,v,n,n,a,n,n,n,n
VERB,v_10,Cause_impact,n,n,a,n,n,n,a,n,a,n,n,n,n,a,n
Adjective,a_1,Body_description_holistic,a,a,n,a,a,n,a,a,n,a,a,n,a,a,n
Adjective,a_2,Size,v,a,a,n,n,a,a,n,n,v,a,n,a,a,n
Adjective,a_3,Praiseworthiness,v,n,n,v,n,n,a,n,n,v,n,a,a,n,n
Adjective,a_4,Duration_description,v,a,n,a,a,a,a,n,n,a,n,n,v,v,n
Adjective,a_5,Being_wet,a,n,n,a,n,n,n,n,n,a,v,n,a,a,a
Adjective,a_6,Ordinal_numbers,v,n,n,a,n,n,a,n,n,n,a,n,v,n,n
Adjective,a_7,Beyond_compare,v,a,n,n,n,n,a,n,n,a,n,n,a,v,a
Adjective,a_8,Level_of_light,a,n,n,n,v,a,n,n,n,a,v,n,a,n,n
Adjective,a_9,Mental_stimulus_exp_focus,a,n,n,v,v,n,a,n,a,a,a,a,n,n,n
Adjective,a_10,Ground_up,v,n,n,n,v,n,v,a,n,a,v,n,v,v,n
