POS,concept,frame,adj_1,adj_2,adj_3,noun_1,noun_2,noun_3,verb_1,verb_2,verb_3,unbiased_1,unbiased_2,unbiased_3,mixed_1,mixed_2,mixed_3
NOUN,n_1,Clothing,a,n,n,v,v,n,a,n,n,v,a,n,a,n,n
NOUN,n_2,Buildings,v,n,n,n,n,n,a,n,a,v,n,n,n,n,n
NOUN,n_3,Body_parts,a,n,n,n,n,n,n,n,n,a,n,n,a,n,n
NOUN,n_4,Sounds,a,n,n,a,a,n,a,a,n,n,a,n,a,n,n
NOUN,n_5,Food,v,v,n,a,a,n,a,a,n,a,a,n,a,n,n
NOUN,n_6,Aggregate,v,n,n,v,v,n,a,n,n,v,a,n,a,v,n
NOUN,n_7,Calendric_unit,a,n,n,v,n,n,v,a,a,v,n,n,a,n,n
NOUN,n_8,Appellations,v,a,n,n,n,n,n,n,n,a,a,n,n,n,n
NOUN,n_9,Vehicle,v,n,n,n,n,n,v,n,n,a,v,n,a,v,n
NOUN,n_10,Facial_expression,a,n,n,a,n,n,a,a,n,a,n,a,a,a,n
VERB,v_1,Filling,a,n,n,v,n,n,v,n,n,v,v,n,a,n,a
VERB,v_2,Cause_motion,v,n,n,v,n,n,a,n,n,v,n,n,v,n,n
VERB,v_3,Motion_noise,v,n,n,a,n,n,a,n,n,a,n,n,a,v,n
VERB,v_4,Text_creation,v,n,n,v,a,n,v,v,n,a,n,n,v,a,n
VERB,v_5,Absorb_heat,a,a,n,v,v,n,v,a,n,a,n,n,v,a,n
VERB,v_6,Cause_to_fragment,a,n,n,v,n,n,a,a,n,v,a,n,a,a,n
VERB,v_7,Change_posture,a,a,n,a,n,n,a,n,n,a,n,n,a,n,n
VERB,v_8,Communication_manner,v,n,n,v,v,n,a,n,n,a,v,n,n,a,n
VERB,v_9,Operate_vehicle,n,n,n,v,a,n,a,v,n,v,a,n,v,v,n
VERB,v_10,Cause_impact,v,n,n,a,a,n,a,n,n,a,a,n,n,a,n
Adjective,a_1,Body_description_holistic,v,v,n,a,a,n,a,n,n,v,a,n,a,a,n
Adjective,a_2,Size,v,v,n,a,a,a,a,n,n,v,n,n,a,a,n
Adjective,a_3,Praiseworthiness,v,a,n,a,a,n,a,n,n,v,n,n,a,n,n
Adjective,a_4,Duration_description,v,a,n,a,n,n,v,n,n,v,n,n,a,n,n
Adjective,a_5,Being_wet,a,v,n,v,n,n,a,a,n,a,a,n,a,a,n
Adjective,a_6,Ordinal_numbers,v,n,n,a,a,n,a,n,n,a,n,n,n,n,n
Adjective,a_7,Beyond_compare,v,v,n,v,a,n,a,n,n,a,a,n,a,n,n
Adjective,a_8,Level_of_light,a,n,n,a,n,n,a,n,n,a,a,n,a,n,n
Adjective,a_9,Mental_stimulus_exp_focus,a,a,n,v,a,n,a,a,n,v,v,n,a,n,n
Adjective,a_10,Ground_up,v,v,n,v,n,n,a,n,n,a,v,n,a,a,n
