POS,concept,frame,noun_1,noun_2,noun_3,verb_1,verb_2,verb_3,unbiased_1,unbiased_2,unbiased_3,mixed_1,mixed_2,mixed_3
NOUN,n_1,Clothing,n,n,n,n,n,n,v,n,n,n,n,n
NOUN,n_2,Buildings,v,n,n,n,n,n,v,n,n,n,v,n
NOUN,n_3,Body_parts,n,n,n,n,n,n,n,n,n,n,n,n
NOUN,n_4,Sounds,n,n,n,v,v,v,n,v,n,n,v,n
NOUN,n_5,Food,n,n,n,v,n,n,n,n,n,n,n,n
NOUN,n_6,Aggregate,n,n,n,n,n,n,n,n,n,n,n,n
NOUN,n_7,Calendric_unit,v,n,n,v,n,n,v,n,n,n,v,n
NOUN,n_8,Appellations,n,v,n,v,v,n,n,n,n,n,n,n
NOUN,n_9,Vehicle,n,n,n,n,v,n,v,n,n,n,n,n
NOUN,n_10,Facial_expression,n,n,n,n,n,n,v,n,n,n,v,n
VERB,v_1,Filling,v,v,n,v,v,n,n,n,n,v,v,v
VERB,v_2,Cause_motion,n,n,n,n,n,n,v,v,n,v,v,n
VERB,v_3,Motion_noise,n,n,n,v,v,n,n,n,n,n,n,n
VERB,v_4,Text_creation,v,n,n,v,v,v,v,n,n,v,n,v
VERB,v_5,Absorb_heat,v,n,n,v,v,n,n,n,n,v,v,n
VERB,v_6,Cause_to_fragment,n,n,n,n,n,n,v,n,n,n,v,n
VERB,v_7,Change_posture,n,v,n,n,n,n,n,n,n,n,n,n
VERB,v_8,Communication_manner,n,v,n,n,n,n,n,n,n,n,n,n
VERB,v_9,Operate_vehicle,v,n,n,n,n,n,n,n,n,n,n,n
VERB,v_10,Cause_impact,n,n,n,n,n,n,n,n,n,n,n,n
