POS,concept,frame,adj_1,adj_2,adj_3,noun_1,noun_2,noun_3,verb_1,verb_2,verb_3,unbiased_1,unbiased_2,unbiased_3,mixed_1,mixed_2,mixed_3
NOUN,n_1,Clothing,a,n,n,v,v,a,a,v,a,v,v,a,v,v,n
NOUN,n_2,Buildings,a,v,a,n,a,a,v,a,a,v,v,a,v,n,n
NOUN,n_3,Body_parts,a,n,a,a,v,a,v,v,a,v,v,a,v,a,a
NOUN,n_4,Sounds,a,a,n,a,v,a,v,v,a,v,v,a,a,v,a
NOUN,n_5,Food,v,v,a,a,a,a,a,a,n,a,v,a,a,v,a
NOUN,n_6,Aggregate,a,v,a,v,a,a,v,n,n,v,v,a,v,a,a
NOUN,n_7,Calendric_unit,a,v,a,a,v,a,a,a,a,v,n,n,a,v,a
NOUN,n_8,Appellations,v,a,a,v,v,a,v,v,a,v,n,a,n,n,n
NOUN,n_9,Vehicle,a,n,a,a,a,a,v,a,a,v,a,a,v,a,n
NOUN,n_10,Facial_expression,v,v,a,v,v,n,a,v,a,v,a,a,v,n,n
VERB,v_1,Filling,v,v,a,v,v,a,a,a,a,v,v,a,v,v,a
VERB,v_2,Cause_motion,v,n,a,v,v,a,v,a,a,v,a,a,v,v,n
VERB,v_3,Motion_noise,a,a,n,v,a,a,v,a,a,a,v,a,a,a,a
VERB,v_4,Text_creation,a,v,a,v,a,a,v,v,a,v,a,a,v,n,a
VERB,v_5,Absorb_heat,v,a,a,v,v,a,a,a,a,v,v,a,a,v,a
VERB,v_6,Cause_to_fragment,v,v,a,v,a,a,v,v,a,v,v,a,v,v,n
VERB,v_7,Change_posture,v,a,a,v,v,a,n,a,a,v,a,a,v,a,a
VERB,v_8,Communication_manner,a,v,n,v,v,a,v,n,a,v,v,a,v,a,a
VERB,v_9,Operate_vehicle,n,v,a,v,a,a,a,v,a,v,n,a,v,v,a
VERB,v_10,Cause_impact,v,v,a,v,v,a,v,a,a,v,v,a,v,v,a
Adjective,a_1,Body_description_holistic,n,n,a,n,a,a,a,a,n,a,a,a,v,n,a
Adjective,a_2,Size,v,v,a,a,a,a,a,n,a,a,v,a,v,n,n
Adjective,a_3,Praiseworthiness,v,a,a,a,a,a,v,n,a,a,v,a,v,n,a
Adjective,a_4,Duration_description,a,n,a,a,a,a,a,a,a,v,v,a,v,n,a
Adjective,a_5,Being_wet,a,v,a,a,v,a,v,a,n,v,v,a,v,a,n
Adjective,a_6,Ordinal_numbers,v,a,n,n,v,a,a,a,n,v,v,a,a,n,a
Adjective,a_7,Beyond_compare,a,v,a,v,v,a,v,n,a,a,a,a,n,a,a
Adjective,a_8,Level_of_light,v,v,n,v,v,a,a,v,a,v,a,a,a,a,n
Adjective,a_9,Mental_stimulus_exp_focus,a,v,a,v,v,a,a,n,n,v,a,a,v,n,n
Adjective,a_10,Ground_up,v,a,a,n,v,a,v,n,n,a,v,a,v,a,n
