POS,concept,frame,adj_1,adj_2,adj_3,noun_1,noun_2,noun_3,verb_1,verb_2,verb_3,unbiased_1,unbiased_2,unbiased_3,mixed_1,mixed_2,mixed_3
NOUN,n_1,Clothing,a,a,a,a,v,a,v,a,a,a,v,a,a,a,a
NOUN,n_2,Buildings,a,a,a,n,n,a,a,a,a,v,v,a,a,a,a
NOUN,n_3,Body_parts,v,a,a,a,a,a,v,v,a,a,a,a,a,a,a
NOUN,n_4,Sounds,a,v,a,a,a,a,v,a,a,a,n,a,a,n,a
NOUN,n_5,Food,a,n,a,a,a,a,n,a,a,a,a,a,a,v,a
NOUN,n_6,Aggregate,v,v,n,a,n,a,v,a,a,v,n,a,a,a,a
NOUN,n_7,Calendric_unit,v,n,a,a,v,a,v,a,n,v,n,a,v,a,a
NOUN,n_8,Appellations,v,v,a,a,a,a,v,v,a,v,n,a,v,v,a
NOUN,n_9,Vehicle,v,a,a,v,n,a,v,a,a,v,n,a,v,a,a
NOUN,n_10,Facial_expression,a,v,a,v,v,a,v,v,a,v,v,a,a,v,a
VERB,v_1,Filling,a,a,a,v,v,a,v,v,n,v,n,a,a,a,a
VERB,v_2,Cause_motion,v,n,a,v,a,a,v,a,a,v,a,a,v,a,a
VERB,v_3,Motion_noise,a,v,a,v,a,a,v,a,a,v,n,a,n,a,a
VERB,v_4,Text_creation,a,n,v,a,v,a,v,a,a,v,v,a,v,v,a
VERB,v_5,Absorb_heat,a,n,a,v,a,a,a,v,a,a,a,a,a,n,a
VERB,v_6,Cause_to_fragment,v,v,a,v,v,a,v,a,a,v,v,a,a,v,a
VERB,v_7,Change_posture,v,n,a,v,n,a,v,n,a,a,v,a,a,n,a
VERB,v_8,Communication_manner,v,v,a,a,a,a,v,v,a,v,a,a,a,a,a
VERB,v_9,Operate_vehicle,v,a,a,n,a,a,v,v,a,v,a,a,v,a,a
VERB,v_10,Cause_impact,a,n,a,a,n,a,v,a,a,v,n,a,a,v,a
Adjective,a_1,Body_description_holistic,a,a,a,v,v,a,a,a,a,a,v,n,a,a,a
Adjective,a_2,Size,v,v,a,a,v,a,n,a,n,a,v,a,a,a,a
Adjective,a_3,Praiseworthiness,v,a,a,a,a,a,v,v,a,v,n,a,a,v,a
Adjective,a_4,Duration_description,a,a,a,a,v,a,v,n,n,v,a,a,a,a,a
Adjective,a_5,Being_wet,a,v,a,a,a,a,v,a,a,a,a,a,n,a,a
Adjective,a_6,Ordinal_numbers,v,a,a,a,a,a,v,a,a,a,a,a,a,a,a
Adjective,a_7,Beyond_compare,a,a,a,a,a,a,a,a,a,v,v,a,a,a,a
Adjective,a_8,Level_of_light,v,n,a,n,a,a,a,v,a,a,v,a,a,a,a
Adjective,a_9,Mental_stimulus_exp_focus,v,a,n,a,v,a,v,v,a,v,v,a,a,a,a
Adjective,a_10,Ground_up,v,n,a,n,a,a,v,a,a,a,n,a,n,v,a
