POS,concept,frame,adj_1,adj_2,adj_3,noun_1,noun_2,noun_3,verb_1,verb_2,verb_3,unbiased_1,unbiased_2,unbiased_3,mixed_1,mixed_2,mixed_3
NOUN,n_1,Clothing,a,n,n,n,n,n,n,n,n,n,n,a,n,n,n
NOUN,n_2,Buildings,n,n,n,n,n,n,v,v,a,n,n,a,v,v,n
NOUN,n_3,Body_parts,n,n,n,n,a,n,v,n,n,n,n,n,n,n,n
NOUN,n_4,Sounds,n,n,n,n,a,n,n,n,n,v,n,n,n,n,n
NOUN,n_5,Food,v,n,n,n,v,n,v,v,n,n,n,n,v,v,n
NOUN,n_6,Aggregate,a,n,a,n,n,n,n,v,n,n,n,n,n,n,n
NOUN,n_7,Calendric_unit,v,v,n,n,n,n,v,v,n,n,n,n,v,v,n
NOUN,n_8,Appellations,a,a,n,n,n,n,v,n,n,n,n,n,n,n,n
NOUN,n_9,Vehicle,v,n,n,v,v,n,v,v,a,v,n,a,v,n,n
NOUN,n_10,Facial_expression,n,n,n,n,n,n,n,n,n,n,n,n,n,v,n
VERB,v_1,Filling,n,n,n,n,n,n,v,v,a,v,n,n,v,v,n
VERB,v_2,Cause_motion,v,a,n,v,n,n,v,v,a,v,n,n,v,v,a
VERB,v_3,Motion_noise,v,a,n,n,n,n,v,v,n,n,n,n,n,n,n
VERB,v_4,Text_creation,n,n,n,n,n,n,v,v,n,v,n,a,n,n,n
VERB,v_5,Absorb_heat,v,n,n,n,n,n,v,n,n,n,n,n,v,n,n
VERB,v_6,Cause_to_fragment,v,a,n,v,n,n,v,v,v,v,n,a,v,a,a
VERB,v_7,Change_posture,a,a,a,n,n,n,a,a,n,a,a,n,v,n,n
VERB,v_8,Communication_manner,v,n,n,n,n,n,v,n,a,n,n,n,v,v,n
VERB,v_9,Operate_vehicle,a,a,n,n,n,n,v,v,a,v,n,a,v,n,n
VERB,v_10,Cause_impact,a,n,n,n,n,n,v,n,n,n,n,n,n,n,n
Adjective,a_1,Body_description_holistic,n,n,n,n,v,n,n,n,n,n,n,n,n,v,n
Adjective,a_2,Size,a,n,n,n,n,n,a,n,n,a,n,n,n,n,n
Adjective,a_3,Praiseworthiness,a,a,n,a,n,a,a,n,n,a,n,n,n,v,n
Adjective,a_4,Duration_description,a,n,n,n,n,n,v,v,n,a,n,n,a,n,n
Adjective,a_5,Being_wet,a,a,n,n,v,n,a,n,n,v,n,n,n,n,n
Adjective,a_6,Ordinal_numbers,a,n,n,n,n,n,a,n,n,n,n,n,v,a,a
Adjective,a_7,Beyond_compare,a,a,a,a,a,n,v,a,n,a,n,n,v,a,n
Adjective,a_8,Level_of_light,n,n,n,n,n,n,n,n,n,a,n,n,n,a,n
Adjective,a_9,Mental_stimulus_exp_focus,a,a,n,v,v,n,v,a,n,n,n,n,a,n,a
Adjective,a_10,Ground_up,a,a,n,n,n,n,v,v,a,n,n,n,v,v,a
