POS,concept,frame,adj_1,adj_2,adj_3,noun_1,noun_2,noun_3,verb_1,verb_2,verb_3,unbiased_1,unbiased_2,unbiased_3,mixed_1,mixed_2,mixed_3
NOUN,n_1,Clothing,v,n,n,n,n,n,n,n,a,v,n,n,n,n,n
NOUN,n_2,Buildings,n,n,a,v,a,n,a,n,n,v,n,n,n,v,n
NOUN,n_3,Body_parts,v,n,n,n,n,n,a,n,n,n,n,n,a,a,n
NOUN,n_4,Sounds,n,v,n,a,n,a,v,v,a,n,v,a,n,v,n
NOUN,n_5,Food,v,a,a,a,n,n,v,a,n,n,n,n,a,n,n
NOUN,n_6,Aggregate,v,v,a,a,n,n,n,n,a,a,a,n,a,n,a
NOUN,n_7,Calendric_unit,n,n,n,v,n,n,v,n,n,v,n,n,n,v,n
NOUN,n_8,Appellations,n,n,a,n,v,n,v,v,a,n,n,n,a,n,a
NOUN,n_9,Vehicle,a,v,v,n,n,n,a,a,n,v,n,n,a,n,a
NOUN,n_10,Facial_expression,n,n,n,a,n,n,a,n,n,v,n,n,a,v,n
VERB,v_1,Filling,v,n,a,v,v,n,v,v,n,n,n,n,v,v,v
VERB,v_2,Cause_motion,a,n,n,n,a,n,n,n,n,v,n,n,v,v,a
VERB,v_3,Motion_noise,n,n,a,n,n,a,v,v,n,a,n,n,n,n,n
VERB,v_4,Text_creation,v,v,n,v,n,n,v,v,v,a,v,n,v,n,v
VERB,v_5,Absorb_heat,v,v,n,v,n,a,v,v,a,a,n,n,v,v,n
VERB,v_6,Cause_to_fragment,a,n,n,n,n,n,a,v,n,a,v,a,n,v,n
VERB,v_7,Change_posture,v,v,n,a,n,n,a,n,n,a,a,n,a,a,n
VERB,v_8,Communication_manner,n,n,n,a,v,n,a,n,n,a,n,n,a,n,n
VERB,v_9,Operate_vehicle,v,n,n,v,n,n,n,n,n,n,n,a,a,n,a
VERB,v_10,Cause_impact,v,a,a,n,n,n,n,n,n,n,n,n,n,n,n
Adjective,a_1,Body_description_holistic,n,n,n,a,v,n,v,v,a,a,n,n,n,a,n
Adjective,a_2,Size,v,a,a,a,n,n,v,a,n,a,n,n,a,n,a
Adjective,a_3,Praiseworthiness,v,v,n,a,v,n,a,n,n,v,v,n,n,a,n
Adjective,a_4,Duration_description,a,n,n,a,n,a,v,n,v,a,n,n,a,n,n
Adjective,a_5,Being_wet,n,a,a,n,n,n,n,v,n,v,n,n,a,a,n
Adjective,a_6,Ordinal_numbers,v,n,n,a,n,n,a,v,a,a,n,a,v,v,a
Adjective,a_7,Beyond_compare,n,n,a,a,n,n,n,n,n,a,a,n,a,v,a
Adjective,a_8,Level_of_light,v,n,a,a,n,n,a,a,n,a,n,n,a,a,n
Adjective,a_9,Mental_stimulus_exp_focus,v,n,n,n,v,n,v,v,n,a,a,n,n,v,n
Adjective,a_10,Ground_up,v,n,n,v,n,n,a,n,a,a,n,n,v,v,n
